sample_id,customer_label,Read1 Download,Read2 Download
zr11927_1,6F1.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_1_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_1_R2.fastq.gz
zr11927_2,6F2.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_2_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_2_R2.fastq.gz
zr11927_3,6F4.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_3_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_3_R2.fastq.gz
zr11927_4,6F5.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_4_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_4_R2.fastq.gz
zr11927_5,6F7.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_5_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_5_R2.fastq.gz
zr11927_6,6F8.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_6_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_6_R2.fastq.gz
zr11927_7,6F10.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_7_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_7_R2.fastq.gz
zr11927_8,6F11.V1.T6.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_8_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_8_R2.fastq.gz
zr11927_9,6F1.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_9_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_9_R2.fastq.gz
zr11927_10,6F2.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250506/KNMDXYOPYHWSBLFQ/zr11927_10_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250506/KNMDXYOPYHWSBLFQ/zr11927_10_R2.fastq.gz
zr11927_11,6F4.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_11_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_11_R2.fastq.gz
zr11927_12,6F5.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_12_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_12_R2.fastq.gz
zr11927_13,6F7.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_13_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_13_R2.fastq.gz
zr11927_14,6F8.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_14_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_14_R2.fastq.gz
zr11927_15,6F10.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_15_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_15_R2.fastq.gz
zr11927_16,6F11.V1.T7.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_16_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_16_R2.fastq.gz
zr11927_17,6F1.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_17_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_17_R2.fastq.gz
zr11927_18,6F2.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_18_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_18_R2.fastq.gz
zr11927_19,6F4.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_19_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_19_R2.fastq.gz
zr11927_20,6F5.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_20_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_20_R2.fastq.gz
zr11927_21,6F7.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_21_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_21_R2.fastq.gz
zr11927_22,6F8.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_22_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_22_R2.fastq.gz
zr11927_23,6F10.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_23_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_23_R2.fastq.gz
zr11927_24,6F11.V1.T3.S3.R1,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_24_R1.fastq.gz,https://epiquest-zre.s3.eu-central-1.amazonaws.com/zr11927/rawdata/250430/FENUOZFCYPJHPSHF/zr11927_24_R2.fastq.gz
