Sample	Step	Read1_paired	Read2_paired	Read1_unpaired	Read2_unpaired	TOTAL
01	Before decontamination	66068513	66068513	3623046	631825	136391897
01	No wheat	60774960	60774960	3463061	566119	125579100
01	No human	60770178	60770178	3462624	565824	125568804
01	No PhiX (fully decontaminated)	60770178	60770178	3462624	565824	125568804

------------------------------------------------------------------------------

02	Before decontamination	36039205	36039205	917446	540185	73536041
02	No wheat	35129144	35129144	899020	521440	71678748
02	No human	35127097	35127097	898836	521287	71674317
02	No PhiX (fully decontaminated)	35127097	35127097	898836	521287	71674317

------------------------------------------------------------------------------

03	Before decontamination	27268061	27268061	512467	465607	55514196
03	No wheat	25631234	25631234	489688	431674	52183830
03	No human	25629701	25629701	489564	431529	52180495
03	No PhiX (fully decontaminated)	25629701	25629701	489563	431529	52180494

------------------------------------------------------------------------------

04	Before decontamination	34388159	34388159	712610	468831	69957759
04	No wheat	32680331	32680331	684041	438883	66483586
04	No human	32678001	32678001	683853	438755	66478610
04	No PhiX (fully decontaminated)	32678001	32678001	683853	438755	66478610

------------------------------------------------------------------------------

05	Before decontamination	25703521	25703521	518593	349517	52275152
05	No wheat	22941725	22941725	475996	302208	46661654
05	No human	22939307	22939307	475838	302075	46656527
05	No PhiX (fully decontaminated)	22939307	22939307	475838	302075	46656527

------------------------------------------------------------------------------

06	Before decontamination	25367555	25367555	540414	323309	51598833
06	No wheat	24111157	24111157	521150	303104	49046568
06	No human	24109351	24109351	521052	303013	49042767
06	No PhiX (fully decontaminated)	24109351	24109351	521052	303013	49042767

------------------------------------------------------------------------------

07	Before decontamination	15728107	15728107	331875	214438	32002527
07	No wheat	14607065	14607065	313467	195192	29722789
07	No human	14605678	14605678	313373	195104	29719833
07	No PhiX (fully decontaminated)	14605678	14605678	313373	195104	29719833

------------------------------------------------------------------------------

08	Before decontamination	12905104	12905104	208517	238701	26257426
08	No wheat	11948005	11948005	195398	217641	24309049
08	No human	11946281	11946281	195298	217523	24305383
08	No PhiX (fully decontaminated)	11946281	11946281	195298	217523	24305383

