All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    T7_N1P2K2_contigs_fixed
# contigs (>= 1000 bp)      618364                 
# contigs (>= 5000 bp)      15216                  
# contigs (>= 10000 bp)     3270                   
# contigs (>= 25000 bp)     368                    
Total length (>= 1000 bp)   1086576775             
Total length (>= 5000 bp)   133008017              
Total length (>= 10000 bp)  54233235               
Total length (>= 25000 bp)  13347697               
# contigs                   618364                 
Largest contig              230516                 
Total length                1086576775             
GC (%)                      63.78                  
N50                         1687                   
N75                         1243                   
L50                         182663                 
L75                         372911                 
# N's per 100 kbp           0.00                   
