Assembly	sample_12_contigs_fixed
# contigs (>= 1000 bp)	11997
# contigs (>= 1200 bp)	7273
# contigs (>= 1679 bp)	3038
# contigs (>= 2500 bp)	1328
# contigs (>= 5000 bp)	414
# contigs (>= 10000 bp)	144
# contigs (>= 25000 bp)	14
Total length (>= 1000 bp)	21600632
Total length (>= 1200 bp)	16460967
Total length (>= 1679 bp)	10579432
Total length (>= 2500 bp)	7172119
Total length (>= 5000 bp)	4152273
Total length (>= 10000 bp)	2291355
Total length (>= 25000 bp)	442671
# contigs	11997
Largest contig	49979
Total length	21600632
GC (%)	60.00
N50	1649
N75	1214
L50	3171
L75	7058
# N's per 100 kbp	0.00
