All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_14_contigs_fixed
# contigs (>= 1000 bp)      52193                  
# contigs (>= 5000 bp)      977                    
# contigs (>= 10000 bp)     218                    
# contigs (>= 25000 bp)     20                     
Total length (>= 1000 bp)   85438659               
Total length (>= 5000 bp)   8591483                
Total length (>= 10000 bp)  3558699                
Total length (>= 25000 bp)  653763                 
# contigs                   52193                  
Largest contig              55208                  
Total length                85438659               
GC (%)                      61.04                  
N50                         1535                   
N75                         1188                   
L50                         16468                  
L75                         32491                  
# N's per 100 kbp           0.00                   
