name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	3	3	0.0
Dictyoglomus thermophilum	14	species	1959987	2	1	0.0
Pelobacter carbinolicus	19	species	3665893	2	2	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcus xanthus	34	species	9139763	1	1	0.0
Cystobacteraceae	39	family	0	1	0	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Cyclobacterium marinum	104	species	6221273	1	1	0.0
Borreliella burgdorferi	139	species	1329613	1	1	0.0
Borrelia parkeri	141	species	1030684	2	0	0.0
Borrelia turicatae	142	species	917330	3	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	4	4	0.0
Leptospira biflexa	172	species	3953768	4	3	0.0
Leptospira interrogans	173	species	5395453	6	5	0.0
Leptospira borgpetersenii	174	species	3948532	2	1	0.0
Campylobacter coli	195	species	5104439	4	2	0.0
Campylobacter fetus	196	species	1876301	2	1	0.0
Campylobacter jejuni	197	species	6156435	5	4	0.0
Campylobacter hyointestinalis	198	species	1753331	2	1	0.0
Campylobacter concisus	199	species	1969727	2	2	0.0
Campylobacter lari	201	species	1576113	5	3	0.0
Helicobacter pylori	210	species	2044699	4	3	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	2	0	0.0
Francisella tularensis	263	species	2777166	2	2	0.0
Comamonas testosteroni	285	species	5695231	1	0	0.0
Pseudomonas	286	genus	0	1	1	0.0
Pseudoalteromonas atlantica	288	species	5187005	2	1	0.0
Pseudomonas fluorescens	294	species	14826544	3	0	0.0
Pseudomonas stutzeri	316	species	7755802	7	7	0.0
Pseudomonas syringae	317	species	6129101	1	1	0.0
Ralstonia pickettii	329	species	6378979	2	2	0.0
Xanthomonas campestris	339	species	7063896	1	1	0.0
Xanthomonas oryzae	347	species	17545599	1	0	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	1	0.0
Sinorhizobium meliloti	382	species	6962835	1	0	0.0
Rhizobium leguminosarum	384	species	7369497	4	4	0.0
Rhizobium phaseoli	396	species	87841097	3	0	0.0
Gluconobacter oxydans	442	species	3306867	2	2	0.0
Legionella pneumophila	446	species	15688009	5	5	0.0
Legionella hackeliae	449	species	3570857	4	2	0.0
Tatlockia micdadei	451	species	3310028	1	0	0.0
Acinetobacter baumannii	470	species	11595472	4	3	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Zymomonas mobilis	542	species	2426073	1	0	0.0
[Enterobacter] aerogenes	548	species	10750562	1	1	0.0
Pantoea agglomerans	549	species	9924054	1	1	0.0
Enterobacter cloacae	550	species	10083180	3	1	0.0
Escherichia coli	562	species	12319210	6	4	0.0
Klebsiella oxytoca	571	species	16779606	1	1	0.0
Klebsiella pneumoniae	573	species	15713353	2	2	0.0
Morganella morganii	582	species	3853791	1	1	0.0
Proteus mirabilis	584	species	5337360	1	0	0.0
Proteus vulgaris	585	species	3794983	1	0	0.0
Serratia liquefaciens	614	species	7946985	2	2	0.0
Shigella sonnei	624	species	6798914	1	0	0.0
Xenorhabdus nematophila	628	species	4586662	1	1	0.0
Yersinia enterocolitica	630	species	14308813	2	2	0.0
Yersinia intermedia	631	species	4859749	1	1	0.0
Yersinia pestis	632	species	7124135	1	0	0.0
Yersinia pseudotuberculosis	633	species	9565781	1	0	0.0
Vibrio cholerae	666	species	6170861	1	0	0.0
Vibrio harveyi	669	species	11920371	3	1	0.0
Vibrio parahaemolyticus	670	species	10344823	5	3	0.0
Vibrio vulnificus	672	species	10215744	2	1	0.0
Vibrio campbellii	680	species	12090206	1	0	0.0
Vibrio natriegens	691	species	10692018	2	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	1	1	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	1	0	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus influenzae	727	species	2672708	2	1	0.0
Haemophilus parainfluenzae	729	species	2086875	2	2	0.0
Histophilus somni	731	species	2138367	3	1	0.0
Aggregatibacter aphrophilus	732	species	3520359	1	1	0.0
[Haemophilus] parasuis	738	species	4546750	3	3	0.0
Bartonella bacilliformis	774	species	1444212	1	0	0.0
Rickettsia	780	genus	0	2	2	0.0
Rickettsia prowazekii	782	species	1111249	1	1	0.0
Orientia tsutsugamushi	784	species	2068019	1	1	0.0
Rickettsia typhi	785	species	1112275	1	0	0.0
