sample_id	time	fertilizer
sample_17	T3	N1K1
sample_19	T3	N1K1
sample_21	T3	N1K1
sample_23	T3	N1K1
sample_18	T3	N1P2K2
sample_20	T3	N1P2K2
sample_22	T3	N1P2K2
sample_24	T3	N1P2K2
sample_01	T6	N1K1
sample_03	T6	N1K1
sample_05	T6	N1K1
sample_07	T6	N1K1
sample_02	T6	N1P2K2
sample_04	T6	N1P2K2
sample_06	T6	N1P2K2
sample_08	T6	N1P2K2
sample_09	T7	N1K1
sample_11	T7	N1K1
sample_13	T7	N1K1
sample_15	T7	N1K1
sample_10	T7	N1P2K2
sample_12	T7	N1P2K2
sample_14	T7	N1P2K2
sample_16	T7	N1P2K2
