bins	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24
T3_N1K1_MAG_00002	0.5721160556	0.5529528307	0.5152508897	0.0986243337	1.3488294537	0.8389377053	0.3899191026	0.4339956501	0.3427302910	0.7630632225	1.0644079155	0.2765924686	1.3962103939	0.7871611182	0.3828511515	0.6525664021	0.2068480922	0.6466545607	0.9208458656	0.1457565994	1.1244742329	0.8451520102	0.2264645034	0.5151959613
T3_N1K1_MAG_00004	0.4296802496	0.0369473981	0.1437341613	0.0037840167	0.1178502852	0.0301668418	0.0041861107	0.0038920546	0.6654723031	0.0552065094	0.0730090658	0.0358652229	0.1540634639	0.0653094226	0.0050703107	0.0050896958	0.6386441688	0.0415687866	0.1595883733	0.0042836480	0.0896557120	0.0609132734	0.0034127933	0.0064111975
T3_N1K1_MAG_00005	0.4823326403	0.0097221885	0.0889654269	0.0024181551	0.0788906547	0.0137884556	0.0044964955	0.0046704345	0.8522371194	0.0128599265	0.0190658758	0.0162447210	0.0482217787	0.0181052979	0.0051692046	0.0077601590	0.8150629384	0.0095431273	0.0614534490	0.0045841941	0.0220103003	0.0228727673	0.0033628568	0.0084810569
T3_N1K1_MAG_00006	1.1280205404	0.0088962329	0.3027167802	0.0015269082	0.1097930993	0.0244787502	0.0014236904	0.0023695566	0.9293127582	0.0069587723	0.0296736607	0.0405590286	0.0389610912	0.0395430530	0.0027546209	0.0066756390	1.7546844262	0.0127043964	0.2854359014	0.0008682747	0.0503421054	0.1546605571	0.0011213274	0.0045932800
T3_N1P2K2_MAG_00001	0.0217503264	0.1779280843	0.0467175768	0.0299440326	0.1131531373	0.0748162275	0.0949918836	0.0554540318	0.0126184757	0.2542047972	0.1426953460	0.0945870493	0.1168147261	0.0958241700	0.1219887465	0.0394624869	0.0084631051	0.2834349114	0.1085066475	0.0427274670	0.1031187747	0.0659076421	0.0602266361	0.0830736678
T3_N1P2K2_MAG_00006	0.0534547053	0.2875311724	0.1340925805	0.1692675287	0.1407395079	0.0998439797	0.2801124290	0.3561514985	0.0409592638	0.4420348556	0.3968502736	0.2810320897	0.1496550061	0.1679324887	0.3628347899	0.3220524133	0.0297738200	0.4348104478	0.3485355075	0.2805480574	0.1928785661	0.1374444156	0.2489800153	0.4970088878
T3_N1P2K2_MAG_00007	0.0148052334	0.2218816277	0.1060452453	0.0142749342	0.0402163129	0.0186073753	0.1096705298	0.0090806062	0.0125055054	0.3002401536	0.3343008204	0.0565633249	0.0362746844	0.0268269730	0.1239414340	0.0208089926	0.0155093850	0.4770343738	0.3098333162	0.0153069700	0.0237505630	0.0339809711	0.0701413897	0.0101060128
T7_N1P2K2_MAG_00004	0.8630534850	0.9032739986	0.7385838744	0.1519204918	0.8280895560	0.8787293612	0.1673035071	0.2688782766	0.6216261156	1.2427878992	0.9539907561	0.7171172656	0.9539856206	0.8356305100	0.1608897715	0.1977141732	0.4902092628	1.0329478827	1.0276930502	0.1292879545	0.6282344245	0.8146707536	0.0903597523	0.2792943410
T7_N1P2K2_MAG_00005	0.0376818028	0.2622900455	0.1240758471	0.2330396940	0.1536254093	0.0512206778	0.4329471751	0.4705939312	0.0254916776	0.4136014249	0.3810973742	0.2352146820	0.1809024691	0.1244607951	0.4236622380	0.5152950637	0.0167911209	0.4075711124	0.2531794473	0.3643906148	0.1946060562	0.1058812606	0.3369827092	0.7007657261
T7_N1P2K2_MAG_00007	0.0045420443	0.1762566082	0.0593741204	0.3566525596	0.0171661223	0.0094941040	0.5416201951	0.5586899881	0.0044948709	0.2651547739	0.3648955227	0.1671072781	0.0159383123	0.0125439346	0.5914851192	0.7511275866	0.0022284549	0.2604846565	0.1227832788	0.6241730480	0.0176480361	0.0109599787	0.4540195351	0.6815267778
T7_N1P2K2_MAG_00008	0.0703491993	0.0252631239	0.0421089814	0.0018298176	0.4202996442	0.2096799730	0.0045214297	0.0397474089	0.0516315496	0.0323818068	0.0688551573	0.0220771005	0.2688404078	0.3828364658	0.0079874122	0.4377476901	0.0525811693	0.0334014874	0.0792857304	0.0015872233	0.1673278950	0.4736502929	0.0050003474	0.0387369733
sample_16_MAG_00001	0.1577209255	0.9209326111	0.5191059685	0.8830509126	0.5629059353	0.4003069200	1.4725846307	1.3915783578	0.1050399343	1.8199557829	2.3424556242	1.0149762753	0.7058486035	0.6966088104	2.3600286143	1.9593822920	0.0545326334	1.7521472300	1.7835701428	1.7982191952	0.6506856280	0.4632069336	1.4466920826	2.5766226525
