Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sample_01_read1_paired_cleaned	9.974115877077693	60.0	146.1229997411929	150	18.181818181818183	66068513.0
sample_01_read1_unpaired_cleaned	6.81997653715203	63.0	81.61701090906507	97	9.090909090909092	5348121.0
sample_01_read2_paired_cleaned	9.64355772566087	60.0	145.752847048336	150	18.181818181818183	66068513.0
sample_01_read2_unpaired_cleaned	4.61326253342304	59.0	78.50904275752096	92	18.181818181818183	1033479.0
sample_02_read1_paired_cleaned	4.473179879334069	62.0	131.28606965664198	150	18.181818181818183	36039205.0
sample_02_read1_unpaired_cleaned	5.131930034723581	64.0	71.20331400741495	77	18.181818181818183	1870545.0
sample_02_read2_paired_cleaned	4.624638268792296	62.0	131.05580259053994	150	18.181818181818183	36039205.0
sample_02_read2_unpaired_cleaned	3.4615035886369867	62.0	68.50132497300085	72	18.181818181818183	1240780.0
sample_03_read1_paired_cleaned	4.945703950953771	62.0	130.35519151875155	148	18.181818181818183	27268061.0
sample_03_read1_unpaired_cleaned	4.891653741415396	64.0	69.6282643811853	72	18.181818181818183	1105646.0
sample_03_read2_paired_cleaned	5.103080433190172	62.0	130.25885126192142	148	18.181818181818183	27268061.0
sample_03_read2_unpaired_cleaned	3.4901360854375696	61.0	68.78514627383669	72	18.181818181818183	1060340.0
sample_04_read1_paired_cleaned	4.832774772301647	61.0	129.29012989616572	144	18.181818181818183	34388159.0
sample_04_read1_unpaired_cleaned	4.930089265474791	64.0	69.63081120802747	72	18.181818181818183	1545892.0
sample_04_read2_paired_cleaned	4.9772294602628335	61.0	129.11296653013613	144	18.181818181818183	34388159.0
sample_04_read2_unpaired_cleaned	3.4311976207498276	61.0	66.84382746481919	67	18.181818181818183	1156170.0
sample_05_read1_paired_cleaned	5.434625914310303	60.0	129.41972121251405	144	18.181818181818183	25703521.0
sample_05_read1_unpaired_cleaned	4.885677735517632	63.0	69.81876736854431	72	18.181818181818183	1118761.0
sample_05_read2_paired_cleaned	5.58944320522248	60.0	129.2556506168941	144	18.181818181818183	25703521.0
sample_05_read2_unpaired_cleaned	3.4316737428722917	60.0	66.61431737481928	67	18.181818181818183	872199.0
sample_06_read1_paired_cleaned	5.396385080264764	61.0	130.22437976383614	148	18.181818181818183	25367555.0
sample_06_read1_unpaired_cleaned	5.13342958298098	64.0	70.70990068062225	77	18.181818181818183	1122943.0
sample_06_read2_paired_cleaned	5.54176036735565	61.0	130.0263349778881	146	18.181818181818183	25367555.0
sample_06_read2_unpaired_cleaned	3.45893308529935	61.0	66.47739503911278	67	18.181818181818183	807920.0
sample_07_read1_paired_cleaned	4.344017801760813	61.0	128.97273079334977	142	18.181818181818183	15728107.0
sample_07_read1_unpaired_cleaned	4.552639222249951	63.0	69.58355418953612	72	18.181818181818183	722944.0
sample_07_read2_paired_cleaned	4.444908210463055	61.0	128.7994969769725	142	18.181818181818183	15728107.0
sample_07_read2_unpaired_cleaned	3.115486201826684	60.0	66.86567690963277	67	18.181818181818183	529827.0
sample_08_read1_paired_cleaned	5.013349495660847	60.0	128.40812906273362	140	18.181818181818183	12905104.0
sample_08_read1_unpaired_cleaned	4.722069829228502	63.0	68.17058297456376	72	18.181818181818183	480810.0
