Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sample_01_contaminant_free_read1_paired	9.372102968940183	61.0	146.35177254211763	150	18.181818181818183	60770178.0
sample_01_contaminant_free_read1_unpaired	4.674842741614356	63.0	100.62813288419419	98	27.27272727272727	3462624.0
sample_01_contaminant_free_read2_paired	9.046730744190754	61.0	145.95858853663387	150	18.181818181818183	60770178.0
sample_01_contaminant_free_read2_unpaired	2.684422458894346	61.0	100.44098164800361	98	27.27272727272727	565824.0
sample_02_contaminant_free_read1_paired	4.401108039115513	62.0	131.31251591897845	150	18.181818181818183	35127097.0
sample_02_contaminant_free_read1_unpaired	3.2706727342205824	64.0	99.40019091358157	98	18.181818181818183	898836.0
sample_02_contaminant_free_read2_paired	4.557402825930552	62.0	131.07793006635305	150	9.090909090909092	35127097.0
sample_02_contaminant_free_read2_unpaired	1.5288233749752607	61.0	99.1686921024311	98	27.27272727272727	521287.0
sample_03_contaminant_free_read1_paired	4.715568612399025	63.0	130.54119890044757	148	18.181818181818183	25629701.0
sample_03_contaminant_free_read1_unpaired	3.077539295400129	65.0	99.10476486172362	98	18.181818181818183	489563.0
sample_03_contaminant_free_read2_paired	4.882768539260056	63.0	130.43176180635115	148	18.181818181818183	25629701.0
sample_03_contaminant_free_read2_unpaired	1.6707693060018016	62.0	99.20658866495647	98	27.27272727272727	431529.0
sample_04_contaminant_free_read1_paired	4.640680064206762	62.0	129.37294389580316	144	18.181818181818183	32678001.0
sample_04_contaminant_free_read1_unpaired	3.2446656313792914	64.0	99.13019026018749	98	27.27272727272727	683853.0
sample_04_contaminant_free_read2_paired	4.782962902133576	62.0	129.18686635697208	144	18.181818181818183	32678001.0
sample_04_contaminant_free_read2_unpaired	1.6105043258086909	61.0	98.99528894257615	98	27.27272727272727	438755.0
sample_05_contaminant_free_read1_paired	4.9558485063019475	62.0	129.685694253972	144	18.181818181818183	22939307.0
sample_05_contaminant_free_read1_unpaired	3.3708449024814797	64.0	99.18593302762704	98	18.181818181818183	475838.0
sample_05_contaminant_free_read2_paired	5.099092318673499	62.0	129.4985677640567	144	18.181818181818183	22939307.0
sample_05_contaminant_free_read2_unpaired	1.8512243272012228	61.0	98.90265000413804	98	27.27272727272727	302075.0
sample_06_contaminant_free_read1_paired	5.255701947687612	62.0	130.31133845120925	148	18.181818181818183	24109351.0
sample_06_contaminant_free_read1_unpaired	3.628656293996926	64.0	99.35413739895442	98	18.181818181818183	521052.0
sample_06_contaminant_free_read2_paired	5.389414548404176	62.0	130.10143458444816	146	18.181818181818183	24109351.0
sample_06_contaminant_free_read2_unpaired	1.898833469523666	61.0	98.8897308036289	98	27.27272727272727	303013.0
sample_07_contaminant_free_read1_paired	4.145078925975838	62.0	129.16989461221863	144	18.181818181818183	14605678.0
sample_07_contaminant_free_read1_unpaired	3.631541549182586	64.0	99.14772491567557	98	18.181818181818183	313373.0
sample_07_contaminant_free_read2_paired	4.2451628414817435	62.0	128.9808484070373	142	18.181818181818183	14605678.0
sample_07_contaminant_free_read2_unpaired	3.3960649312686826	61.0	98.97728391011974	98	27.27272727272727	195104.0
sample_08_contaminant_free_read1_paired	4.845699945040323	61.0	128.59012223134548	140	18.181818181818183	11946281.0
sample_08_contaminant_free_read1_unpaired	7.5832844922315275	63.0	98.86504726110867	98	27.27272727272727	195298.0
sample_08_contaminant_free_read2_paired	5.042200442560599	61.0	128.59560929464158	140	18.181818181818183	11946281.0
sample_08_contaminant_free_read2_unpaired	1.9714765955527724	60.0	99.23942755478731	98	27.27272727272727	217523.0
sample_09_contaminant_free_read1_paired	4.418193724608969	63.0	129.3702485603034	144	18.181818181818183	37874994.0
sample_09_contaminant_free_read1_unpaired	3.0756312095639515	65.0	99.1252464496798	98	18.181818181818183	899778.0
sample_09_contaminant_free_read2_paired	4.565307081191804	63.0	129.11000904713015	142	18.181818181818183	37874994.0
sample_09_contaminant_free_read2_unpaired	1.633573200663946	62.0	98.67387772737092	98	27.27272727272727	462900.0
sample_10_contaminant_free_read1_paired	10.16656300729673	61.0	143.47266262563437	150	18.181818181818183	110716924.0
sample_10_contaminant_free_read1_unpaired	6.03595698716326	64.0	100.17245281998905	98	18.181818181818183	6104545.0
sample_10_contaminant_free_read2_paired	10.186675963509131	61.0	142.62309922916572	150	27.27272727272727	110716924.0
sample_10_contaminant_free_read2_unpaired	2.6543610382177008	61.0	100.19882220601566	98	27.27272727272727	1648166.0
sample_11_contaminant_free_read1_paired	4.781257519255945	62.0	129.52068021467545	144	18.181818181818183	40901558.0
sample_11_contaminant_free_read1_unpaired	3.113774689128448	65.0	99.1078592001511	98	18.181818181818183	847160.0
sample_11_contaminant_free_read2_paired	4.924022104148804	62.0	129.3420134264812	144	18.181818181818183	40901558.0
sample_11_contaminant_free_read2_unpaired	1.653515651941774	62.0	98.92826596601112	98	27.27272727272727	565185.0
sample_12_contaminant_free_read1_paired	6.32935090547744	62.0	122.98508521680264	126	18.181818181818183	29236429.0
sample_12_contaminant_free_read1_unpaired	4.058159690822023	64.0	98.24726189109869	98	27.27272727272727	487928.0
sample_12_contaminant_free_read2_paired	6.534277120550541	62.0	122.8544864353988	126	18.181818181818183	29236429.0
sample_12_contaminant_free_read2_unpaired	1.9656164182961504	61.0	98.13065014422995	98	27.27272727272727	292935.0
sample_13_contaminant_free_read1_paired	4.583644756359746	63.0	128.695436075144	142	18.181818181818183	41202979.0
sample_13_contaminant_free_read1_unpaired	3.3666208924079086	65.0	98.90644759702548	98	18.181818181818183	873147.0
sample_13_contaminant_free_read2_paired	4.720298873448726	63.0	128.47884916282388	140	18.181818181818183	41202979.0
sample_13_contaminant_free_read2_unpaired	1.6927294405433457	62.0	98.68538250568945	98	27.27272727272727	514110.0
sample_14_contaminant_free_read1_paired	4.476878792326062	62.0	125.5830645329857	132	18.181818181818183	67935180.0
sample_14_contaminant_free_read1_unpaired	3.5100362319293765	63.0	98.48390859543272	98	27.27272727272727	1083622.0
sample_14_contaminant_free_read2_paired	4.614427763763501	62.0	125.53968359250686	132	18.181818181818183	67935180.0
sample_14_contaminant_free_read2_unpaired	1.4676980922143628	61.0	98.54699746910444	98	27.27272727272727	864121.0
sample_15_contaminant_free_read1_paired	4.092276636981751	62.0	120.72475963804695	120	18.181818181818183	32458132.0
sample_15_contaminant_free_read1_unpaired	3.4523456824915257	62.0	97.87150831237041	96	27.27272727272727	579197.0
sample_15_contaminant_free_read2_paired	4.242877018793351	62.0	120.61548883959188	120	18.181818181818183	32458132.0
sample_15_contaminant_free_read2_unpaired	1.4128516830293592	61.0	97.87085293663796	96	27.27272727272727	304583.0
sample_16_contaminant_free_read1_paired	3.9491456849603424	62.0	127.10893206080564	136	18.181818181818183	42598680.0
sample_16_contaminant_free_read1_unpaired	2.830544693572861	64.0	98.73127777155676	98	27.27272727272727	812657.0
sample_16_contaminant_free_read2_paired	4.090221492821428	62.0	126.9290721684334	136	18.181818181818183	42598680.0
sample_16_contaminant_free_read2_unpaired	1.4509527047520407	61.0	98.58947548537311	98	27.27272727272727	490911.0
sample_17_contaminant_free_read1_paired	9.93798929476695	62.0	147.75284954004906	150	18.181818181818183	50987176.0
sample_17_contaminant_free_read1_unpaired	4.82762524035391	65.0	100.42687614175689	98	18.181818181818183	3510489.0
sample_17_contaminant_free_read2_paired	9.651446871311435	62.0	147.24721733951299	150	18.181818181818183	50987176.0
sample_17_contaminant_free_read2_unpaired	2.8481770125105186	62.0	100.2892886708759	98	27.27272727272727	485598.0
sample_18_contaminant_free_read1_paired	9.948210041735805	61.0	146.55553471931228	150	18.181818181818183	59868971.0
sample_18_contaminant_free_read1_unpaired	4.713861683922943	63.0	100.7410082440452	98	18.181818181818183	4433867.0
sample_18_contaminant_free_read2_paired	9.610498754682482	61.0	146.0399544866071	150	18.181818181818183	59868971.0
sample_18_contaminant_free_read2_unpaired	2.246448541031782	61.0	100.50428900279694	98	27.27272727272727	630333.0
sample_19_contaminant_free_read1_paired	8.407638262215457	61.0	146.0022758523923	150	18.181818181818183	45612800.0
sample_19_contaminant_free_read1_unpaired	4.895673216625582	63.0	100.6820718415454	98	18.181818181818183	3301488.0
sample_19_contaminant_free_read2_paired	8.134552745981068	61.0	145.5430131892802	150	18.181818181818183	45612800.0
sample_19_contaminant_free_read2_unpaired	2.380445299733239	61.0	100.35346117002504	98	27.27272727272727	416521.0
sample_20_contaminant_free_read1_paired	11.231937892217601	60.0	148.47017861953663	150	18.181818181818183	83576748.0
sample_20_contaminant_free_read1_unpaired	4.451555798567242	63.0	100.80412550363639	98	9.090909090909092	5544923.0
sample_20_contaminant_free_read2_paired	10.889876199362263	60.0	148.03560401751932	150	18.181818181818183	83576748.0
sample_20_contaminant_free_read2_unpaired	2.538441280969977	60.0	100.87835175695221	98	27.27272727272727	916758.0
sample_21_contaminant_free_read1_paired	4.078377939545135	64.0	122.22564166952078	124	18.181818181818183	34088225.0
sample_21_contaminant_free_read1_unpaired	3.3819724517881866	65.0	98.10603244754532	98	27.27272727272727	549379.0
sample_21_contaminant_free_read2_paired	4.196542895589843	64.0	122.10552676180704	124	18.181818181818183	34088225.0
sample_21_contaminant_free_read2_unpaired	1.3969650234558628	63.0	97.6419714642443	96	27.27272727272727	337191.0
sample_22_contaminant_free_read1_paired	10.191893017354886	61.0	147.89717302052105	150	18.181818181818183	62160904.0
sample_22_contaminant_free_read1_unpaired	4.304037972718859	63.0	100.74021888809654	98	18.181818181818183	3861882.0
sample_22_contaminant_free_read2_paired	9.913101306267578	61.0	147.47458074290554	150	18.181818181818183	62160904.0
sample_22_contaminant_free_read2_unpaired	2.4161836329784734	61.0	100.72638966377919	98	27.27272727272727	681100.0
sample_23_contaminant_free_read1_paired	4.237235808001884	62.0	121.65626746349477	122	18.181818181818183	40640133.0
sample_23_contaminant_free_read1_unpaired	3.5551998218052603	63.0	98.35559888988055	98	27.27272727272727	654344.0
sample_23_contaminant_free_read2_paired	4.363707640878189	62.0	121.52712231527391	122	18.181818181818183	40640133.0
sample_23_contaminant_free_read2_unpaired	1.5983789184852242	61.0	97.92751388824651	96	27.27272727272727	389178.0
sample_24_contaminant_free_read1_paired	10.059406972175452	61.0	147.6286870049624	150	18.181818181818183	72414196.0
sample_24_contaminant_free_read1_unpaired	4.350916887204363	63.0	100.77242254499869	98	9.090909090909092	4023562.0
sample_24_contaminant_free_read2_paired	9.706064405687243	61.0	147.2434398360233	150	18.181818181818183	72414196.0
sample_24_contaminant_free_read2_unpaired	2.393096060053523	60.0	100.72623625529823	98	27.27272727272727	732555.0
