sample_id	total_reads	sequencing_effort_Gbp
sample_01	138518626	19.8014
sample_02	75189735	9.67278
sample_03	56702108	7.25636
sample_04	71478380	9.07093
sample_05	53398002	6.78508
sample_06	52665973	6.73504
sample_07	32708985	4.14
sample_08	26839768	3.38492
sample_09	80250314	10.1691
sample_10	236069745	32.9086
sample_11	85849943	10.91
sample_12	64579153	7.7702
sample_13	86475239	10.9124
sample_14	147036104	18.1078
sample_15	72480791	8.54494
sample_16	91154708	11.3686
sample_17	112279983	16.1382
sample_18	130844349	18.6297
sample_19	100918219	14.3293
sample_20	189738933	27.456
sample_21	74472206	8.90236
sample_22	134076544	19.3436
sample_23	88921506	10.5942
sample_24	158755635	22.9105
