sample_id	total_reads	sequencing_effort_Gbp
sample_01	125568804	18.169
sample_02	71674317	9.35805
sample_03	52180494	6.77999
sample_04	66478610	8.56044
sample_05	46656527	6.02258
sample_06	49042767	6.36012
sample_07	29719833	3.82085
sample_08	24305383	3.11331
sample_09	77112666	9.92481
sample_10	229186559	32.4523
sample_11	83215461	10.7278
sample_12	59253721	7.26415
sample_13	83793215	10.7334
sample_14	137818103	17.2519
sample_15	65800044	7.91995
sample_16	86500928	10.9503
sample_17	105970439	15.4425
sample_18	124802142	18.0274
sample_19	94943609	13.6724
sample_20	173615177	25.4324
sample_21	69063020	8.41564
sample_22	128864790	18.8182
sample_23	82323788	9.98547
sample_24	149584509	21.8322
