layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters	genus	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
T3_N1K1_MAG_00002	3466632	0.372243433972801	94.7368421052632	3.94736842105263	3733	642.250736672917	1.07683769145384	1012	3107	Nitrososphaera	11.3286988639117	5.34859108206467	3.73884594615177	0.8946144269135	9.15191574992673	5.65027900279003	1.61426508495854	1.46904055579017	3.48525860258603	25.1113423634236	11.6126903576728	2.1491787994803	15.2360063023707	14.2537560952533	3.27144011824734	7.41876639920245	3.33815588155882	12.0469804698047	13.1950766623051	4.00189319200884	10.0104744316674	16.3482824251319	2.39921024210242	11.8033970724323
T3_N1K1_MAG_00004	2683939	0.337704023824685	92.1052631578947	6.57894736842105	2736	637.406798245614	1.01939723667341	694	2448	JAJNBK01	8.50827049347992	0.357384053810463	1.04298681899998	0.0343245505952259	0.799623612906255	0.203174885867376	0.0173304981968666	0.0131742934545085	6.76725439736149	1.81676893550859	0.796528907698722	0.27867995509585	1.68120214356586	1.18260996244699	0.0433255003187479	0.0578627159559141	10.3065673251143	0.7744140235676	2.2867896774107	0.117611838421067	0.798147424363967	1.17828199523164	0.0361558142714868	0.146883740651334
T3_N1K1_MAG_00005	1639441	0.404384787253704	80.2631578947368	3.94736842105263	1764	688.501700680272	1.07597650662634	567	1620	TH5896	9.55086154366031	0.0940405906647449	0.645565165199602	0.0219349156206292	0.535279403162419	0.0928657999891426	0.0186154914998466	0.0158090471081302	8.6664844907502	0.423202176839545	0.208008705406294	0.126224731478595	0.526215338032903	0.327847113741818	0.0441705434962283	0.0882221440112819	13.1536487131894	0.177785598871811	0.880584906684656	0.125863632787029	0.195943617367139	0.442441661517554	0.0356267776638501	0.194305254046959
T3_N1K1_MAG_00006	1072093	0.360680463355325	84.2105263157895	3.94736842105263	1274	704.189952904239	1.18832974378156	127	1202	TA-21	22.3363859292058	0.0860513033850608	2.1966219348508	0.0138504775238715	0.744954961929609	0.164865361493826	0.00589407821896048	0.00802075939307504	9.45027436985411	0.229003453991398	0.323739638258994	0.315151763886155	0.425159011391736	0.716037694491056	0.0235380699249039	0.0758926697590601	28.3174482064522	0.23667909407113	4.09009666139038	0.0238393497579035	0.448163545513309	2.99169195209744	0.0118795664182119	0.105234340677535
T3_N1P2K2_MAG_00001	1339105	0.358484211469601	50.0	2.63157894736842	1486	674.57402422611	1.10969640170114	308	1398	None	0.430686914020932	1.7210592149234	0.338999555673379	0.271620223955552	0.767753088816784	0.503890284929113	0.393266398079314	0.187707461326782	0.128318541115148	8.36552398803679	1.5568062250533	0.734960290641884	1.27472901676866	1.73516490491784	1.04238651935434	0.448633228910354	0.136579282431176	5.28030736947439	1.55482430429279	1.1731253337117	0.918000455528133	1.27489106530108	0.638053027955239	1.90325926645035
T3_N1P2K2_MAG_00006	3080372	0.350664465200956	82.8947368421053	2.63157894736842	3468	591.076124567474	1.12583804813185	991	2917	None	1.05847800200755	2.78122577402989	0.973024037356527	1.53541390455439	0.954928820285342	0.672453197211246	1.15966545599038	1.2055443303601	0.416518849022131	14.5467482498867	4.32963648546344	2.18367554308376	1.63309528849113	3.04088791873189	3.1004015099475	3.66128506557	0.480495862188073	8.10038819986677	4.99426984792746	7.70272746278696	1.71707443126999	2.65866979702452	2.63774407766335	11.3867221231721
T3_N1P2K2_MAG_00007	1471608	0.352223554098646	72.3684210526316	3.94736842105263	1746	657.039518900344	1.18645726307549	383	1626	TA-21	0.293164348114444	2.1462121706324	0.769502476202902	0.129486928584243	0.272870900402825	0.125321417116515	0.454035993280819	0.0307371256475909	0.127169735418671	9.8804831177868	3.64722195041071	0.439508347331626	0.39584386602954	0.48577746247642	1.05907211703117	0.236569113513925	0.250293556436225	8.88700727367614	4.43969453821942	0.420268169240722	0.211436061777321	0.657314311963512	0.74309191034569	0.231533805198123
T7_N1P2K2_MAG_00004	2906601	0.380601603040803	93.4210526315789	2.63157894736842	3415	604.792093704246	1.17491186440795	1200	2779	TA-21	17.0896672780337	8.73717066773183	5.35943048254645	1.3780601465423	5.61865388472652	5.91827739686321	0.692636519425955	0.91013145595147	6.32137813205184	40.898409860865	10.4080391495083	5.57214457711946	10.4102726862063	15.1314301481352	1.37479344430144	2.24773334902176	7.91109512451141	19.2435091710214	14.7261220236283	3.54973007991121	5.59276901095128	15.7586651900278	0.95728928738413	6.39877299980286
T7_N1P2K2_MAG_00005	843329	0.397970424353959	67.1052631578947	5.26315789473684	928	719.650862068965	1.10040091115093	182	864	None	0.746152450585714	2.53707390591335	0.900339013599675	2.11388675119675	1.04236069197194	0.344973314092128	1.79240130482884	1.59292280948479	0.259227418955117	13.6110438512135	4.15777235218995	1.82766512238996	1.97408010396891	2.25371118507724	3.62016840402737	5.85818346102174	0.270978467478291	7.59292755259217	3.62788425395071	10.0047087198472	1.73245317070799	2.04812475321019	3.570062217711	16.0548931674352
T7_N1P2K2_MAG_00007	3044469	0.388669091391635	86.8421052631579	3.94736842105263	3385	595.841654357459	1.11185234600845	1116	2807	Nitrosopolaris	0.0899388366247119	1.70489139485408	0.43083999212999	3.2351704024577	0.116473513115095	0.0639431703853775	2.24230760766492	1.89112091468167	0.045708791910839	8.72587239351099	3.98101015316628	1.2984569722996	0.173925239508105	0.227143058444675	5.05420485477106	8.53926908107785	0.0359632500774355	4.8527510051835	1.75939843696881	17.1372952064876	0.157109170761798	0.21200544331376	4.80997375897078	15.6141192437827
