layers	isolation_source	isolation_category
T3_N1K1_MAG_00002	wheat_rhizosphere	soil
T3_N1K1_MAG_00004	wheat_rhizosphere	soil
T3_N1K1_MAG_00005	wheat_rhizosphere	soil
T3_N1K1_MAG_00006	wheat_rhizosphere	soil
T3_N1P2K2_MAG_00001	wheat_rhizosphere	soil
T3_N1P2K2_MAG_00006	wheat_rhizosphere	soil
T3_N1P2K2_MAG_00007	wheat_rhizosphere	soil
T7_N1P2K2_MAG_00004	wheat_rhizosphere	soil
T7_N1P2K2_MAG_00005	wheat_rhizosphere	soil
T7_N1P2K2_MAG_00007	wheat_rhizosphere	soil
T7_N1P2K2_MAG_00008	wheat_rhizosphere	soil
sample_16_MAG_00001	wheat_rhizosphere	soil
Candidatus_Methylarchaceae_archaeon_HK01B_GCA_024256205_1	mangrove_sediment	sediment
Candidatus_Methylarchaceae_archaeon_HK01M_GCA_024256245_1	mangrove_sediment	sediment
Candidatus_Nitrosocaldus_cavascurensis_GCF_900248165_1	terrestrial_hot_spring	hot_spring
Candidatus_Nitrosocaldus_islandicus_GCF_002906215_1	water_hot_spring	hot_spring
Candidatus_Nitrosocosmicus_franklandianus_GCF_900696045_1	terrestrial	soil
Candidatus_Nitrosocosmicus_oleophilus_GCF_000802205_1	contaminated soil	soil
Candidatus_Nitrosomarinus_catalinensis_GCF_002156965_1	seawater	marine_water
Candidatus_Nitrosopumilus_koreensis_AR1_GCF_000299365_1	arctic_marine_sediment	sediment
Candidatus_Nitrosopumilus_sediminis_GCF_000299395_1	arctic_marine_sediment	sediment
Candidatus_Nitrosopumilus_sp__SW_GCF_006740685_1	Marine water column	marine_water
Candidatus_Nitrososphaera_evergladensis_SR1_GCF_000730285_1	agricultural_soil	soil
Candidatus_Nitrososphaera_gargensis_Ga9_2_GCF_000303155_1	heavy_metal_thermal_spring	hot_spring
Conexivisphaera_calida_GCA_013340765_1	water_hot_spring	hot_spring
Nitrosopumilus_adriaticus_GCF_000956175_1	coastal_surface_water	marine_water
Nitrosopumilus_cobalaminigenes_GCF_013407145_1	water_deep_coastal	marine_water
Nitrosopumilus_piranensis_GCF_000875775_1	coastal_surface_water_Northern_Adriatic_Sea	marine_water
Nitrosopumilus_ureiphilus_GCF_013407185_1	nearshore_marine_surface_sediment	sediment
Nitrosopumilus_zosterae_GCF_025998175_1	eelgrass_sediment	sediment
Nitrososphaera_viennensis_EN76_GCF_000698785_1	garden_soil	soil
