layers	source	color
Candidatus_Methylarchaceae_archaeon_HK01B_GCA_024256205	NCBI	#1f77b4
Candidatus_Methylarchaceae_archaeon_HK01M_GCA_024256245	NCBI	#1f77b4
Candidatus_Methylarchaceae_archaeon_HK02M1_GCA_024256185	NCBI	#1f77b4
Candidatus_Methylarchaceae_archaeon_HK02M2_GCA_024256165	NCBI	#1f77b4
Candidatus_Nitrosocaldus_cavascurensis_GCF_900248165	NCBI	#1f77b4
Candidatus_Nitrosocaldus_islandicus_GCF_002906215	NCBI	#1f77b4
Candidatus_Nitrosocosmicus_franklandianus_GCF_900696045	NCBI	#1f77b4
Candidatus_Nitrosocosmicus_hydrocola_GCF_001870125	NCBI	#1f77b4
Candidatus_Nitrosocosmicus_oleophilus_GCF_000802205	NCBI	#1f77b4
Candidatus_Nitrosomarinus_catalinensis_GCF_002156965	NCBI	#1f77b4
Candidatus_Nitrosopumilus_koreensis_AR1_GCF_000299365	NCBI	#1f77b4
Candidatus_Nitrosopumilus_sediminis_GCF_000299395	NCBI	#1f77b4
Candidatus_Nitrosopumilus_sp__SW_GCF_006740685	NCBI	#1f77b4
Candidatus_Nitrososphaera_evergladensis_SR1_GCF_000730285	NCBI	#1f77b4
Candidatus_Nitrososphaera_gargensis_Ga9_2_GCF_000303155	NCBI	#1f77b4
Conexivisphaera_calida_GCA_013340765	NCBI	#1f77b4
Nitrosarchaeum_sp__AC2_GCF_013407385	NCBI	#1f77b4
Nitrosopumilus_adriaticus_GCF_000956175	NCBI	#1f77b4
Nitrosopumilus_adriaticus_GCF_041431065	NCBI	#1f77b4
Nitrosopumilus_cobalaminigenes_GCF_013407145	NCBI	#1f77b4
Nitrosopumilus_maritimus_SCM1_GCF_000018465	NCBI	#1f77b4
Nitrosopumilus_oxyclinae_GCF_013407165	NCBI	#1f77b4
Nitrosopumilus_piranensis_GCF_000875775	NCBI	#1f77b4
Nitrosopumilus_sp__GCF_963457545	NCBI	#1f77b4
Nitrosopumilus_sp__GCF_965262695	NCBI	#1f77b4
Nitrosopumilus_sp__GCF_965263415	NCBI	#1f77b4
Nitrosopumilus_sp__K4_GCF_018128925	NCBI	#1f77b4
Nitrosopumilus_ureiphilus_GCF_013407185	NCBI	#1f77b4
Nitrosopumilus_zosterae_GCF_025998175	NCBI	#1f77b4
Nitrososphaera_viennensis_EN76_GCF_000698785	NCBI	#1f77b4
T3_N1K1_MAG_00002	MAG	#ff7f0e
T3_N1K1_MAG_00004	MAG	#ff7f0e
T3_N1K1_MAG_00005	MAG	#ff7f0e
T3_N1K1_MAG_00006	MAG	#ff7f0e
T3_N1P2K2_MAG_00001	MAG	#ff7f0e
T3_N1P2K2_MAG_00006	MAG	#ff7f0e
T3_N1P2K2_MAG_00007	MAG	#ff7f0e
T7_N1P2K2_MAG_00004	MAG	#ff7f0e
T7_N1P2K2_MAG_00005	MAG	#ff7f0e
T7_N1P2K2_MAG_00007	MAG	#ff7f0e
T7_N1P2K2_MAG_00008	MAG	#ff7f0e
sample_16_MAG_00001	MAG	#ff7f0e
