layers	source
Candidatus_Methylarchaceae_archaeon_HK01B_GCA_024256205_1	NCBI
Candidatus_Methylarchaceae_archaeon_HK01M_GCA_024256245_1	NCBI
Candidatus_Nitrosocaldus_cavascurensis_GCF_900248165_1	NCBI
Candidatus_Nitrosocaldus_islandicus_GCF_002906215_1	NCBI
Candidatus_Nitrosocosmicus_franklandianus_GCF_900696045_1	NCBI
Candidatus_Nitrosocosmicus_oleophilus_GCF_000802205_1	NCBI
Candidatus_Nitrosomarinus_catalinensis_GCF_002156965_1	NCBI
Candidatus_Nitrosopumilus_koreensis_AR1_GCF_000299365_1	NCBI
Candidatus_Nitrosopumilus_sediminis_GCF_000299395_1	NCBI
Candidatus_Nitrosopumilus_sp__SW_GCF_006740685_1	NCBI
Candidatus_Nitrososphaera_evergladensis_SR1_GCF_000730285_1	NCBI
Candidatus_Nitrososphaera_gargensis_Ga9_2_GCF_000303155_1	NCBI
Conexivisphaera_calida_GCA_013340765_1	NCBI
Nitrosopumilus_adriaticus_GCF_000956175_1	NCBI
Nitrosopumilus_cobalaminigenes_GCF_013407145_1	NCBI
Nitrosopumilus_piranensis_GCF_000875775_1	NCBI
Nitrosopumilus_ureiphilus_GCF_013407185_1	NCBI
Nitrosopumilus_zosterae_GCF_025998175_1	NCBI
Nitrososphaera_viennensis_EN76_GCF_000698785_1	NCBI
T3_N1K1_MAG_00002	MAG
T3_N1K1_MAG_00004	MAG
T3_N1K1_MAG_00005	MAG
T3_N1K1_MAG_00006	MAG
T3_N1P2K2_MAG_00001	MAG
T3_N1P2K2_MAG_00006	MAG
T3_N1P2K2_MAG_00007	MAG
T7_N1P2K2_MAG_00004	MAG
T7_N1P2K2_MAG_00005	MAG
T7_N1P2K2_MAG_00007	MAG
T7_N1P2K2_MAG_00008	MAG
sample_16_MAG_00001	MAG
