gene_callers_id	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
0	0.6513056835637481	0.9969278033794163	0.6344086021505376	1.0	0.989247311827957	0.8003072196620584	1.0	1.0	0.3671274961597542	1.0	1.0	0.9692780337941628	0.978494623655914	1.0	1.0	1.0	0.49615975422427033	1.0	1.0	1.0	0.9278033794162827	1.0	0.9969278033794163	1.0
1	0.8552188552188552	1.0	0.7205387205387206	1.0	0.367003367003367	0.9696969696969697	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.05387205387205387	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2	0.8579545454545454	1.0	0.8143939393939394	1.0	1.0	0.8996212121212122	1.0	0.9715909090909091	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00946969696969697	1.0	1.0	1.0	0.8503787878787878	1.0	1.0	1.0
3	0.8172652804032766	0.9621928166351607	0.9338374291115312	0.9930686830497795	0.6534341524889729	0.7908002520478891	0.9873976055450535	0.8399495904221802	0.4448645242596093	1.0	1.0	0.994328922495274	0.9376181474480151	1.0	1.0	1.0	0.5192186515437933	1.0	1.0	1.0	0.9817265280403277	1.0	1.0	1.0
4	1.0	1.0	0.6405228758169934	1.0	1.0	1.0	1.0	1.0	0.6405228758169934	1.0	1.0	1.0	0.803921568627451	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5	1.0	0.9903381642512077	0.34782608695652173	0.9903381642512077	0.9033816425120773	0.5555555555555556	0.6811594202898551	0.9903381642512077	0.6618357487922706	1.0	1.0	0.9903381642512077	1.0	0.9903381642512077	1.0	0.9903381642512077	0.4927536231884058	1.0	1.0	1.0	0.9903381642512077	1.0	1.0	1.0
6	1.0	1.0	1.0	1.0	1.0	1.0	0.9722222222222222	0.9475308641975309	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.38580246913580246	1.0	1.0	1.0	1.0	1.0	1.0	1.0
7	1.0	1.0	0.9717948717948718	1.0	1.0	0.6871794871794872	1.0	0.9871794871794872	0.8282051282051283	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4256410256410256	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8	0.8075757575757576	1.0	0.7909090909090909	0.9545454545454546	0.9803030303030303	0.990909090909091	1.0	1.0	0.3242424242424242	1.0	1.0	0.9924242424242424	1.0	1.0	1.0	1.0	0.7121212121212122	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9	0.8878048780487805	1.0	0.775609756097561	1.0	1.0	0.9739837398373984	1.0	0.9707317073170731	0.5463414634146342	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5008130081300813	1.0	1.0	1.0	1.0	1.0	1.0	1.0
