bins	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
T3_N1K1_MAG_00002	1.738598813472102	1.409835667814844	1.7606749941747701	0.4409085560886911	3.2327361536250137	2.8265027831959504	0.9858922037380153	1.0653921183289168	1.1401057405525479	1.2194030959126427	1.497224550909827	0.8324576598651273	3.080883141879308	2.2626243177609795	0.7181722061085276	1.2105871540297886	0.7184543695332634	1.1035818466790286	1.523101995737395	0.3621847817956277	3.071972717429726	2.614323160221374	0.6658351233126777	0.8280401100333717
T3_N1K1_MAG_00004	1.305751804541846	0.09420289912605403	0.4911571211852808	0.016916771724269964	0.2824514815660314	0.10163646434027239	0.010584384942963283	0.009554391371745304	2.2137196879699466	0.0882220325960725	0.10269649834656476	0.1079432122290187	0.33995702281886425	0.18772610121693015	0.009511153809943728	0.009441982246675733	2.218230242189687	0.07094136662418972	0.2639631440297715	0.010644266598663042	0.2449321586973488	0.1884240698380921	0.010034056470528348	0.010304290199226592
T3_N1K1_MAG_00005	1.4657567251911678	0.0247881688667726	0.3040056904850887	0.010810570099551976	0.18907703328757436	0.04645530636689242	0.011369178525546439	0.011465193469919503	2.8350001664101896	0.02055063553220389	0.02681856925010484	0.04889157877845458	0.10640635949931525	0.05204206155225412	0.00969666431941109	0.014396004469490424	2.830993137709177	0.01628631838556226	0.10164553515775684	0.011391081718023641	0.0601303615343314	0.07075272207030223	0.009887236842676955	0.013631037145813112
T3_N1K1_MAG_00006	3.4279324166237926	0.02268227181940101	1.0344200772241752	0.006826174341115931	0.2631408443933142	0.0824724589502225	0.003599734528387216	0.005816894439512882	3.0913952987226985	0.011120374081576071	0.0417397622406914	0.12207011344541258	0.08597169132248629	0.11366297340590102	0.005167261815741714	0.012384092738817068	6.094620838514314	0.02168134599039253	0.47211808973562097	0.0021575412625847107	0.13753056302788466	0.4784141449986668	0.0032968484512803137	0.007382472562702567
T3_N1P2K2_MAG_00001	0.0660968895624966	0.4536541736676902	0.1596396453094855	0.13386737028365522	0.2711938390926692	0.2520667195503559	0.24018253226884614	0.13613106122963092	0.04197585373899013	0.4062286158306655	0.2007190779541428	0.2846777214578345	0.25776381686163213	0.2754380166852966	0.228832868450475	0.07320753809530477	0.029395266647815825	0.4837105341411663	0.17947269739285168	0.10617178485865858	0.2817121579222453	0.2038732358606784	0.17707415094073595	0.13351876605883187
T3_N1P2K2_MAG_00006	0.16244306786536086	0.7331035849088824	0.4582106660660665	0.7567250284474006	0.3373100240241638	0.3363888460283232	0.7082511680753905	0.8742967801667775	0.13625259556525274	0.7063879578660347	0.5582201749026822	0.8458195441625362	0.33022930310891035	0.48270693749275245	0.6806244686557527	0.5974449698398171	0.1034146888222816	0.7420482992258811	0.5764864098410292	0.697122719544715	0.5269286528489712	0.4251591601486633	0.7320336594091966	0.7988092395715676
T3_N1P2K2_MAG_00007	0.0449915028995748	0.5657202845441395	0.3623695084844288	0.06381731950311824	0.09638633583482058	0.06269094572126084	0.2772968022185166	0.022291482203100135	0.04160005380025373	0.47979480859975765	0.470236446385923	0.170238088333715	0.08004385594648783	0.07711173758511274	0.23249582178621322	0.03860312004040997	0.05386941343304007	0.8141077279170248	0.5124720215490675	0.03803568158091971	0.0648846183759273	0.10511391867499607	0.2062248172649114	0.016242720325021887
T7_N1P2K2_MAG_00004	2.622726193814902	2.30303170576259	2.523830981415494	0.679173609475096	1.984680152678031	2.960566642054221	0.4230190883078047	0.6600545342278592	2.0678636274530944	1.9860207742173248	1.3419088309005214	2.1583008525026814	2.1050682826449854	2.401945254772095	0.3018054450486067	0.3667829625020443	1.7026649029177092	1.7628307309678004	1.699829900021392	0.32126250070673457	1.7162856699557083	2.5200349681462972	0.26566943551923505	0.44889116805281787
T7_N1P2K2_MAG_00005	0.11451092317319221	0.6687475691370711	0.42398226895561375	1.0418239714965933	0.36819363138064704	0.17256989113781024	1.094686671269968	1.1552352313504481	0.0847990643334348	0.6609502897363067	0.5360617265300455	0.7079233385187688	0.3991800733300323	0.3577514374799652	0.7947277759122229	0.9559327335910026	0.058321321986405716	0.695561599953817	0.41876511132988836	0.9054597588617143	0.5316480163820875	0.32752431344767907	0.9907730365807846	1.1262940171678615
T7_N1P2K2_MAG_00007	0.013802781459652354	0.44939249632971257	0.20288859491910632	1.5944459064557597	0.04114200207643947	0.03198701320260431	1.3694613167180387	1.3714974099030954	0.014952364227033879	0.42372708145958604	0.5132717703786542	0.5029411479665923	0.03516954034499604	0.03605641938960037	1.1095387106214287	1.3934297022033109	0.007740188019226197	0.4445435874323068	0.20308660110325716	1.5509828041695626	0.04821300823779847	0.0339026893550678	1.334876541760916	1.0953725387154
