bins	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
T3_N1K1_MAG_00002	0.9879592065151421	0.9246303039953476	0.84671519792121	0.3511434152803066	0.9734531960704222	0.9234954849548496	0.5692957891117373	0.531009348555024	0.8197896402040944	0.9945200413542596	0.9840231094618639	0.6358174158664663	0.9873767968448915	0.987413431826626	0.7728934020109431	0.9473050499735767	0.8282872251799441	0.9877650699583919	0.99375474523976	0.8420798631063233	0.9789219046036615	0.9900217271403483	0.6694477521698294	0.984939849398494
T3_N1K1_MAG_00004	0.9805554448145058	0.172417853013798	0.42155615310184025	0.014258148191892587	0.34058709978132884	0.09818814809129417	0.0064740666609785094	0.004716202566451771	0.95692413277649	0.6268540380388675	0.331192698492775	0.12628379408026785	0.5716843788178494	0.4358381468431287	0.012630316858915198	0.013639654254437228	0.9943277399374576	0.346997081528306	0.7255667882168708	0.03968868144916855	0.32528459104323904	0.497161075568409	0.011634019998219036	0.04657855487773754
T3_N1K1_MAG_00005	0.9853755029915685	0.03046648217288698	0.29041118283610085	0.006426580767468912	0.2354979532657778	0.03996789149472289	0.004278897502258391	0.0038348437058729166	0.9776503088552745	0.12135111907046366	0.0687301342347788	0.052154972335082504	0.22555858978761664	0.12868532627889628	0.006495506700149624	0.012121814691715043	0.9966281189746993	0.05227208542423912	0.38479579320024326	0.014818465562347167	0.08356262896926453	0.2082484212606614	0.006441219903613488	0.03455446094125986
T3_N1K1_MAG_00006	0.9956001951323252	0.04346358011851584	0.680049212148573	0.006743817933705378	0.32380959487656386	0.08215238789918412	0.003386833045267528	0.004423123740197912	0.9825117783625115	0.12138872280669681	0.15683340904193946	0.14409850637957713	0.1941408068143342	0.2895327177772824	0.011464490487299143	0.027097462626843007	0.9972278524344437	0.11583136910697113	0.8926175247856296	0.014271149984189805	0.1986217613583896	0.7925198653475025	0.005604924199672976	0.060954600020707156
T3_N1P2K2_MAG_00001	0.1893824606733602	0.6045620022328346	0.16673673834389388	0.1339588755176032	0.32838799048618295	0.2286564533774424	0.1929348333401787	0.09580130012209648	0.05704183017761864	0.9838526478506167	0.5416072675406335	0.3093372065670728	0.47591488344827326	0.5699881637362268	0.4100559702189149	0.1997102542369717	0.061295417461662824	0.9549415467793788	0.583432964554684	0.49637183043898725	0.36466595225915815	0.5213011675708775	0.27620836304845403	0.664888862337158
T3_N1P2K2_MAG_00006	0.43698748073284654	0.7444032733708786	0.3968705727749765	0.5326723525600154	0.3834342085955852	0.2884748984862867	0.43964267952052544	0.45736748678406375	0.1854357201013384	0.9860464904888111	0.8550418585807169	0.6435394815950801	0.5504578667771295	0.7421256263853846	0.7462001342694973	0.802971199582388	0.2201756800801981	0.9641111528088167	0.9046631380885166	0.9653665206669844	0.5527329166737005	0.7554928430722003	0.6904571915340095	0.9874002230899385
T3_N1P2K2_MAG_00007	0.09004707775440199	0.689598045131584	0.336210458219852	0.06889742377046061	0.12062043696419156	0.06181877239047355	0.21641293061739267	0.016986860631363787	0.04005890155530549	0.9894156596050036	0.8448961951824127	0.19441250659142925	0.17412313605253574	0.17131328451598524	0.4143950019298618	0.08339992715451397	0.04607544944034009	0.9948213111100239	0.9086869601143783	0.22377018880027832	0.09970522041195753	0.24212290229463282	0.3132552962473702	0.12661727851438698
T7_N1P2K2_MAG_00004	0.9829608535880914	0.9586737223306536	0.8970570780096753	0.4833948656867592	0.9030451720067529	0.9104335269959654	0.30484025843244394	0.3662133192687954	0.9169528256544328	0.9985450359371651	0.9653351113551534	0.8913889453695227	0.9641072166423943	0.9805122890964395	0.48155560395114433	0.651151981300495	0.948293556631956	0.9883953800332416	0.9824310251045809	0.82696214581912	0.8918176247789085	0.9842025100796429	0.36540515880920704	0.9328256613136787
T7_N1P2K2_MAG_00005	0.34528517340207676	0.7410749541400805	0.38081579075307503	0.6576994269140514	0.4266152355723567	0.16626607172289817	0.6058098322244344	0.5593866687852547	0.11878400956210447	0.9951845602368707	0.8681001127673779	0.5931492928619791	0.6313265641285903	0.6675639044785605	0.8114496240494516	0.9286494357480888	0.1269053951660621	0.9701101230954942	0.8602502700606762	0.9820663110126653	0.5740333843612635	0.701544711494565	0.8047867439635066	0.9935624175143983
T7_N1P2K2_MAG_00007	0.048597308758933006	0.596066834643414	0.2092194073909112	0.7975922894928476	0.060601700986280364	0.03235900907514578	0.6867627819498244	0.6252003222893713	0.021977231497512375	0.9862182863415591	0.8581631148157528	0.47045905213684225	0.08498230725949255	0.10570513281626451	0.8962939021550228	0.9763742051569584	0.01755642773830182	0.9213672400671513	0.6379936862553043	0.9940173475243138	0.07498056311297635	0.12139653910090725	0.8857800818467851	0.9924394040471426
