layers	num_INDELs_reported	total_reads_mapped	num_SNVs_reported	total_reads_kept
sample_01_reads_against_MAGs	5664	1152824	151715	1152824
sample_02_reads_against_MAGs	1809	743144	43076	743144
sample_03_reads_against_MAGs	486	418726	12332	418726
sample_04_reads_against_MAGs	917	405262	16543	405262
sample_05_reads_against_MAGs	852	561524	22632	561524
sample_06_reads_against_MAGs	495	393359	14949	393359
sample_07_reads_against_MAGs	494	327733	9017	327733
sample_08_reads_against_MAGs	326	274846	5750	274846
sample_09_reads_against_MAGs	1475	606658	52790	606658
sample_10_reads_against_MAGs	20529	3681458	300920	3681458
sample_11_reads_against_MAGs	5989	1536799	97947	1536799
sample_12_reads_against_MAGs	1131	542660	23708	542660
sample_13_reads_against_MAGs	2880	986712	68156	986712
sample_14_reads_against_MAGs	5090	1296776	106399	1296776
sample_15_reads_against_MAGs	4069	969450	59391	969450
sample_16_reads_against_MAGs	5434	1241316	102334	1241316
sample_17_reads_against_MAGs	4111	813935	112505	813935
sample_18_reads_against_MAGs	10200	1932083	164902	1932083
sample_19_reads_against_MAGs	7098	1535295	114283	1535295
sample_20_reads_against_MAGs	12046	1925995	197986	1925995
sample_21_reads_against_MAGs	1203	689978	28840	689978
sample_22_reads_against_MAGs	4753	1095729	105769	1095729
sample_23_reads_against_MAGs	3049	764056	49066	764056
sample_24_reads_against_MAGs	14877	2492597	235569	2492597
