All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    T6_N1P2K2_contigs_fixed
# contigs (>= 1000 bp)      122362                 
# contigs (>= 5000 bp)      1375                   
# contigs (>= 10000 bp)     371                    
# contigs (>= 25000 bp)     48                     
Total length (>= 1000 bp)   190009379              
Total length (>= 5000 bp)   12953176               
Total length (>= 10000 bp)  6350413                
Total length (>= 25000 bp)  1660983                
# contigs                   122362                 
Largest contig              59242                  
Total length                190009379              
GC (%)                      62.40                  
N50                         1457                   
N75                         1167                   
L50                         41413                  
L75                         78185                  
# N's per 100 kbp           0.00                   
