Assembly	sample_01_contigs_fixed
# contigs (>= 1000 bp)	144166
# contigs (>= 1200 bp)	89731
# contigs (>= 1679 bp)	37327
# contigs (>= 2500 bp)	12860
# contigs (>= 5000 bp)	1995
# contigs (>= 10000 bp)	379
# contigs (>= 25000 bp)	54
Total length (>= 1000 bp)	233617067
Total length (>= 1200 bp)	174364821
Total length (>= 1679 bp)	101399527
Total length (>= 2500 bp)	52601819
Total length (>= 5000 bp)	17343081
Total length (>= 10000 bp)	6811488
Total length (>= 25000 bp)	2126611
# contigs	144166
Largest contig	121765
Total length	233617067
GC (%)	60.29
N50	1539
N75	1196
L50	46929
L75	90439
# N's per 100 kbp	0.00
