All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_16_contigs_fixed
# contigs (>= 1000 bp)      25633                  
# contigs (>= 5000 bp)      259                    
# contigs (>= 10000 bp)     98                     
# contigs (>= 25000 bp)     12                     
Total length (>= 1000 bp)   38871767               
Total length (>= 5000 bp)   2801381                
Total length (>= 10000 bp)  1708748                
Total length (>= 25000 bp)  447409                 
# contigs                   25633                  
Largest contig              65263                  
Total length                38871767               
GC (%)                      58.78                  
N50                         1412                   
N75                         1154                   
L50                         8881                   
L75                         16549                  
# N's per 100 kbp           0.00                   
