Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample_01_read1_paired_cleaned	sample_01_read1_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66068513.0	9.7 Gbp	0.0	80-151	60.0	90.0258841229223	146.1229997411929	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_01_read1_unpaired_cleaned	sample_01_read1_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3623046.0	366.7 Mbp	0.0	80-151	62.0	95.26898565489672	100.72152437479403	98	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_01_read2_paired_cleaned	sample_01_read2_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66068513.0	9.6 Gbp	0.0	80-151	60.0	90.35644227433913	145.752847048336	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_01_read2_unpaired_cleaned	sample_01_read2_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	631825.0	63.8 Mbp	0.0	80-151	59.0	96.98166423665263	100.61387884303407	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	warn	pass
sample_02_read1_paired_cleaned	sample_02_read1_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36039205.0	4.7 Gbp	0.0	80-151	62.0	95.52682012066593	131.28606965664198	150	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_02_read1_unpaired_cleaned	sample_02_read1_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	917446.0	91.6 Mbp	0.0	80-151	64.0	96.68949713636304	99.42892333717734	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_02_read2_paired_cleaned	sample_02_read2_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36039205.0	4.7 Gbp	0.0	80-151	62.0	95.3753617312077	131.05580259053994	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_02_read2_unpaired_cleaned	sample_02_read2_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	540185.0	53.8 Mbp	0.0	80-151	61.0	98.43004270659998	99.24532151022335	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_03_read1_paired_cleaned	sample_03_read1_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27268061.0	3.5 Gbp	0.0	80-151	62.0	95.05429604904623	130.35519151875155	148	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_03_read1_unpaired_cleaned	sample_03_read1_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	512467.0	51 Mbp	0.0	80-151	64.0	96.80760918832736	99.16466426130853	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_03_read2_paired_cleaned	sample_03_read2_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27268061.0	3.5 Gbp	0.0	80-151	62.0	94.89691956680983	130.25885126192142	148	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_03_read2_unpaired_cleaned	sample_03_read2_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	465607.0	46.4 Mbp	0.0	80-151	61.0	98.23451187800879	99.3490690646833	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_read1_paired_cleaned	sample_04_read1_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34388159.0	4.4 Gbp	0.0	80-151	61.0	95.16722522769835	129.29012989616572	144	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_read1_unpaired_cleaned	sample_04_read1_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	712610.0	71 Mbp	0.0	80-151	63.0	96.65995190299054	99.18571729276884	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_read2_paired_cleaned	sample_04_read2_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34388159.0	4.4 Gbp	0.0	80-151	61.0	95.02277053973717	129.11296653013613	144	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_read2_unpaired_cleaned	sample_04_read2_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	468831.0	46.7 Mbp	0.0	80-151	60.0	98.28885335751255	99.10215834703763	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_05_read1_paired_cleaned	sample_05_read1_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25703521.0	3.3 Gbp	0.0	80-151	60.0	94.5653740856897	129.41972121251405	144	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_05_read1_unpaired_cleaned	sample_05_read1_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	518593.0	51.7 Mbp	0.0	80-151	63.0	96.41711304300387	99.27866747140821	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_05_read2_paired_cleaned	sample_05_read2_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25703521.0	3.3 Gbp	0.0	80-151	60.0	94.41055679477752	129.2556506168941	144	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_05_read2_unpaired_cleaned	sample_05_read2_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	349517.0	34.8 Mbp	0.0	80-151	59.0	98.04007286334587	99.1192703073098	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_06_read1_paired_cleaned	sample_06_read1_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25367555.0	3.3 Gbp	0.0	80-151	61.0	94.60361491973524	130.22437976383614	148	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_06_read1_unpaired_cleaned	sample_06_read1_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	540414.0	53.9 Mbp	0.0	80-151	63.0	96.28994730355652	99.40858304929183	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_06_read2_paired_cleaned	sample_06_read2_paired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25367555.0	3.3 Gbp	0.0	80-151	61.0	94.45823963264435	130.0263349778881	146	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_06_read2_unpaired_cleaned	sample_06_read2_unpaired_cleaned.fq.gz	Conventional base calls	Sanger / Illumina 1.9	323309.0	32.1 Mbp	0.0	80-151	60.0	98.06082346997971	99.01540631408344	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
