Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sample_01_read1_paired_cleaned	9.974115877077693	60.0	146.1229997411929	150	18.181818181818183	66068513.0
sample_01_read1_unpaired_cleaned	4.731014345103276	62.0	100.72152437479403	98	18.181818181818183	3623046.0
sample_01_read2_paired_cleaned	9.64355772566087	60.0	145.752847048336	150	18.181818181818183	66068513.0
sample_01_read2_unpaired_cleaned	3.018335763347366	59.0	100.61387884303407	98	27.27272727272727	631825.0
sample_02_read1_paired_cleaned	4.473179879334069	62.0	131.28606965664198	150	18.181818181818183	36039205.0
sample_02_read1_unpaired_cleaned	3.3105028636369553	64.0	99.42892333717734	98	18.181818181818183	917446.0
sample_02_read2_paired_cleaned	4.624638268792296	62.0	131.05580259053994	150	18.181818181818183	36039205.0
sample_02_read2_unpaired_cleaned	1.569957293400023	61.0	99.24532151022335	98	27.27272727272727	540185.0
sample_03_read1_paired_cleaned	4.945703950953771	62.0	130.35519151875155	148	18.181818181818183	27268061.0
sample_03_read1_unpaired_cleaned	3.192390811672638	64.0	99.16466426130853	98	27.27272727272727	512467.0
sample_03_read2_paired_cleaned	5.103080433190172	62.0	130.25885126192142	148	18.181818181818183	27268061.0
sample_03_read2_unpaired_cleaned	1.7654881219912113	61.0	99.3490690646833	98	27.27272727272727	465607.0
sample_04_read1_paired_cleaned	4.832774772301647	61.0	129.29012989616572	144	18.181818181818183	34388159.0
sample_04_read1_unpaired_cleaned	3.3400480970094577	63.0	99.18571729276884	98	27.27272727272727	712610.0
sample_04_read2_paired_cleaned	4.9772294602628335	61.0	129.11296653013613	144	18.181818181818183	34388159.0
sample_04_read2_unpaired_cleaned	1.7111466424874493	60.0	99.10215834703763	98	27.27272727272727	468831.0
sample_05_read1_paired_cleaned	5.434625914310303	60.0	129.41972121251405	144	18.181818181818183	25703521.0
