Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample_01_contaminant_free_read1_paired	sample_01_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60770178.0	8.9 Gbp	0.0	80-151	61.0	90.62789703105982	146.35177254211763	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_01_contaminant_free_read1_unpaired	sample_01_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3462624.0	350.2 Mbp	0.0	80-151	63.0	95.32515725838564	100.62813288419419	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_01_contaminant_free_read2_paired	sample_01_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60770178.0	8.9 Gbp	0.0	80-151	61.0	90.95326925580925	145.95858853663387	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_01_contaminant_free_read2_unpaired	sample_01_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	565824.0	57.1 Mbp	0.0	80-151	61.0	97.31557754110565	100.44098164800361	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_02_contaminant_free_read1_paired	sample_02_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35127097.0	4.6 Gbp	0.0	80-151	62.0	95.59889196088449	131.31251591897845	150	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_02_contaminant_free_read1_unpaired	sample_02_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	898836.0	89.8 Mbp	0.0	80-151	64.0	96.72932726577942	99.40019091358157	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_02_contaminant_free_read2_paired	sample_02_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35127097.0	4.6 Gbp	0.0	80-151	62.0	95.44259717406945	131.07793006635305	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
sample_02_contaminant_free_read2_unpaired	sample_02_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	521287.0	51.9 Mbp	0.0	80-151	61.0	98.47117662502474	99.1686921024311	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_03_contaminant_free_read1_paired	sample_03_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25629701.0	3.3 Gbp	0.0	80-151	63.0	95.28443138760097	130.54119890044757	148	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_03_contaminant_free_read1_unpaired	sample_03_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	489563.0	48.7 Mbp	0.0	80-151	65.0	96.92246070459987	99.10476486172362	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_03_contaminant_free_read2_paired	sample_03_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25629701.0	3.3 Gbp	0.0	80-151	63.0	95.11723146073994	130.43176180635115	148	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_03_contaminant_free_read2_unpaired	sample_03_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	431529.0	43 Mbp	0.0	80-151	62.0	98.3292306939982	99.20658866495647	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_contaminant_free_read1_paired	sample_04_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32678001.0	4.2 Gbp	0.0	80-151	62.0	95.35931993579324	129.37294389580316	144	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_contaminant_free_read1_unpaired	sample_04_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	683853.0	68.1 Mbp	0.0	80-151	64.0	96.75533436862071	99.13019026018749	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_contaminant_free_read2_paired	sample_04_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32678001.0	4.2 Gbp	0.0	80-151	62.0	95.21703709786642	129.18686635697208	144	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_04_contaminant_free_read2_unpaired	sample_04_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	438755.0	43.6 Mbp	0.0	80-151	61.0	98.38949567419131	98.99528894257615	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_05_contaminant_free_read1_paired	sample_05_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22939307.0	2.9 Gbp	0.0	80-151	62.0	95.04415149369805	129.685694253972	144	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_05_contaminant_free_read1_unpaired	sample_05_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	475838.0	47.4 Mbp	0.0	80-151	64.0	96.62915509751852	99.18593302762704	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_05_contaminant_free_read2_paired	sample_05_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22939307.0	2.9 Gbp	0.0	80-151	62.0	94.9009076813265	129.4985677640567	144	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_05_contaminant_free_read2_unpaired	sample_05_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	302075.0	30 Mbp	0.0	80-151	61.0	98.14877567279878	98.90265000413804	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_06_contaminant_free_read1_paired	sample_06_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24109351.0	3.1 Gbp	0.0	80-151	62.0	94.74429805231239	130.31133845120925	148	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_06_contaminant_free_read1_unpaired	sample_06_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	521052.0	52 Mbp	0.0	80-151	64.0	96.37134370600307	99.35413739895442	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_06_contaminant_free_read2_paired	sample_06_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24109351.0	3.1 Gbp	0.0	80-151	62.0	94.61058545159582	130.10143458444816	146	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_06_contaminant_free_read2_unpaired	sample_06_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	303013.0	30.1 Mbp	0.0	80-151	61.0	98.10116653047633	98.8897308036289	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_07_contaminant_free_read1_paired	sample_07_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14605678.0	1.8 Gbp	0.0	80-151	62.0	95.85492107402416	129.16989461221863	144	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_07_contaminant_free_read1_unpaired	sample_07_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	313373.0	31.2 Mbp	0.0	80-151	64.0	96.36845845081741	99.14772491567557	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_07_contaminant_free_read2_paired	sample_07_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14605678.0	1.8 Gbp	0.0	80-151	62.0	95.75483715851826	128.9808484070373	142	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
