Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
zr11927_10_read1	zr11927_10_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	141438563.0	0.0	151.0	61.0	89.51592896224665	151.0	151	pass	pass	fail	pass	fail	fail	pass	pass	pass	pass	fail
zr11927_10_read2	zr11927_10_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	141438563.0	0.0	151.0	61.0	89.26345334755655	151.0	151	pass	pass	fail	pass	fail	fail	pass	pass	pass	warn	fail
zr11927_11_read1	zr11927_11_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	63290423.0	0.0	151.0	60.0	95.73975381974043	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
zr11927_11_read2	zr11927_11_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	63290423.0	0.0	151.0	60.0	95.55583510338727	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
zr11927_12_read1	zr11927_12_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	57261919.0	0.0	151.0	59.0	93.482819453705	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
zr11927_12_read2	zr11927_12_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	57261919.0	0.0	151.0	60.0	93.47142847113655	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
zr11927_13_read1	zr11927_13_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	64974726.0	0.0	151.0	61.0	95.95606123335132	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
zr11927_13_read2	zr11927_13_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	64974726.0	0.0	151.0	61.0	95.83483114718139	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
zr11927_14_read1	zr11927_14_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	115893549.0	0.0	151.0	59.0	95.76992288325411	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
zr11927_14_read2	zr11927_14_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	115893549.0	0.0	151.0	59.0	95.66499108406758	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
zr11927_15_read1	zr11927_15_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	68942096.0	0.0	151.0	61.0	95.810980598113	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
zr11927_15_read2	zr11927_15_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	68942096.0	0.0	151.0	59.0	95.84581442144703	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
zr11927_16_read1	zr11927_16_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	69390409.0	0.0	151.0	60.0	96.42133827704647	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
zr11927_16_read2	zr11927_16_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	69390409.0	0.0	151.0	60.0	96.3375339171072	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
zr11927_17_read1	zr11927_17_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	63022903.0	0.0	151.0	62.0	89.34893806096488	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	warn
zr11927_17_read2	zr11927_17_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	63022903.0	0.0	151.0	63.0	87.58958462123073	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	warn
zr11927_18_read1	zr11927_18_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	74313889.0	0.0	151.0	61.0	89.27182102417295	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	warn
zr11927_18_read2	zr11927_18_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	74313889.0	0.0	151.0	62.0	87.5191924430795	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	warn
zr11927_19_read1	zr11927_19_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	57531512.0	0.0	151.0	61.0	90.96020388097519	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
zr11927_19_read2	zr11927_19_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	57531512.0	0.0	151.0	62.0	88.8719607877569	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	fail
zr11927_1_read1	zr11927_1_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	77502410.0	0.0	151.0	60.0	89.69989352364675	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
zr11927_1_read2	zr11927_1_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	77502410.0	0.0	151.0	60.0	88.41360428714795	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	fail
zr11927_20_read1	zr11927_20_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	105985172.0	0.0	151.0	60.0	87.55553575436234	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	pass
zr11927_20_read2	zr11927_20_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	105985172.0	0.0	151.0	60.0	86.0692562359245	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
zr11927_21_read1	zr11927_21_read1.fastq	Conventional base calls	Sanger / Illumina 1.9	66649851.0	0.0	151.0	60.0	96.09911300214796	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
zr11927_21_read2	zr11927_21_read2.fastq	Conventional base calls	Sanger / Illumina 1.9	66649851.0	0.0	151.0	60.0	96.0593912373863	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
