Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
zr11927_10_read1	10.484071037753353	61.0	151.0	151	36.36363636363637	141438563.0
zr11927_10_read2	10.736546652443451	61.0	151.0	151	36.36363636363637	141438563.0
zr11927_11_read1	4.260246180259571	60.0	151.0	151	18.181818181818183	63290423.0
zr11927_11_read2	4.444164896612733	60.0	151.0	151	18.181818181818183	63290423.0
zr11927_12_read1	6.517180546294995	59.0	151.0	151	18.181818181818183	57261919.0
zr11927_12_read2	6.528571528863452	60.0	151.0	151	18.181818181818183	57261919.0
zr11927_13_read1	4.0439387666486795	61.0	151.0	151	18.181818181818183	64974726.0
zr11927_13_read2	4.16516885281861	61.0	151.0	151	18.181818181818183	64974726.0
zr11927_14_read1	4.230077116745889	59.0	151.0	151	18.181818181818183	115893549.0
zr11927_14_read2	4.33500891593242	59.0	151.0	151	18.181818181818183	115893549.0
zr11927_15_read1	4.189019401886995	61.0	151.0	151	18.181818181818183	68942096.0
zr11927_15_read2	4.154185578552969	59.0	151.0	151	18.181818181818183	68942096.0
zr11927_16_read1	3.5786617229535267	60.0	151.0	151	18.181818181818183	69390409.0
zr11927_16_read2	3.6624660828928057	60.0	151.0	151	18.181818181818183	69390409.0
zr11927_17_read1	10.651061939035117	62.0	151.0	151	18.181818181818183	63022903.0
zr11927_17_read2	12.410415378769272	63.0	151.0	151	27.27272727272727	63022903.0
zr11927_18_read1	10.72817897582705	61.0	151.0	151	18.181818181818183	74313889.0
zr11927_18_read2	12.480807556920496	62.0	151.0	151	27.27272727272727	74313889.0
zr11927_19_read1	9.039796119024814	61.0	151.0	151	27.27272727272727	57531512.0
zr11927_19_read2	11.128039212243095	62.0	151.0	151	36.36363636363637	57531512.0
zr11927_1_read1	10.30010647635325	60.0	151.0	151	27.27272727272727	77502410.0
zr11927_1_read2	11.586395712852052	60.0	151.0	151	36.36363636363637	77502410.0
zr11927_20_read1	12.444464245637661	60.0	151.0	151	18.181818181818183	105985172.0
zr11927_20_read2	13.930743764075501	60.0	151.0	151	27.27272727272727	105985172.0
zr11927_21_read1	3.900886997852041	60.0	151.0	151	18.181818181818183	66649851.0
zr11927_21_read2	3.9406087626137065	60.0	151.0	151	18.181818181818183	66649851.0
zr11927_22_read1	11.006123113018234	61.0	151.0	151	18.181818181818183	74776441.0
zr11927_22_read2	12.315718690268241	62.0	151.0	151	27.27272727272727	74776441.0
zr11927_23_read1	3.953772510908564	59.0	151.0	151	18.181818181818183	80692501.0
zr11927_23_read2	4.014746326967838	59.0	151.0	151	18.181818181818183	80692501.0
zr11927_24_read1	10.757382701408886	60.0	151.0	151	18.181818181818183	88029254.0
zr11927_24_read2	11.909520792130138	61.0	151.0	151	27.27272727272727	88029254.0
zr11927_2_read1	3.9897860133936973	61.0	151.0	151	18.181818181818183	52955682.0
zr11927_2_read2	4.286298766178092	61.0	151.0	151	18.181818181818183	52955682.0
zr11927_3_read1	4.423245276566277	60.0	151.0	151	18.181818181818183	41165245.0
zr11927_3_read2	4.659391390976083	60.0	151.0	151	18.181818181818183	41165245.0
zr11927_4_read1	4.239799059747625	61.0	151.0	151	18.181818181818183	53300798.0
zr11927_4_read2	4.415701901936757	59.0	151.0	151	18.181818181818183	53300798.0
zr11927_5_read1	4.985596072705945	59.0	151.0	151	18.181818181818183	38992584.0
zr11927_5_read2	5.1060936052913775	60.0	151.0	151	18.181818181818183	38992584.0
zr11927_6_read1	4.708582075518109	59.0	151.0	151	18.181818181818183	38430467.0
zr11927_6_read2	4.899909676799425	59.0	151.0	151	18.181818181818183	38430467.0
zr11927_7_read1	3.7536939642817373	61.0	151.0	151	18.181818181818183	24286940.0
zr11927_7_read2	3.934533178406369	60.0	151.0	151	18.181818181818183	24286940.0
zr11927_8_read1	4.553104041730606	59.0	151.0	151	18.181818181818183	19891833.0
zr11927_8_read2	4.759315452053954	58.0	151.0	151	18.181818181818183	19891833.0
zr11927_9_read1	3.9170241874018217	61.0	151.0	151	18.181818181818183	59860159.0
zr11927_9_read2	4.1407547228265855	61.0	151.0	151	18.181818181818183	59860159.0
