layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters	genus
T3_N1K1_MAG_00002	3466632	0.372243433972801	94.7368421052632	3.94736842105263	3733	642.250736672917	1.07683769145384	1012	3107	Nitrososphaera
T3_N1K1_MAG_00004	2683939	0.337704023824685	92.1052631578947	6.57894736842105	2736	637.406798245614	1.01939723667341	694	2448	JAJNBK01
T3_N1K1_MAG_00005	1639441	0.404384787253704	80.2631578947368	3.94736842105263	1764	688.501700680272	1.07597650662634	567	1620	TH5896
T3_N1K1_MAG_00006	1072093	0.360680463355325	84.2105263157895	3.94736842105263	1274	704.189952904239	1.18832974378156	127	1202	TA-21
T3_N1P2K2_MAG_00001	1339105	0.358484211469601	50.0	2.63157894736842	1486	674.57402422611	1.10969640170114	308	1398	None
T3_N1P2K2_MAG_00006	3080372	0.350664465200956	82.8947368421053	2.63157894736842	3468	591.076124567474	1.12583804813185	991	2917	None
T3_N1P2K2_MAG_00007	1471608	0.352223554098646	72.3684210526316	3.94736842105263	1746	657.039518900344	1.18645726307549	383	1626	TA-21
T7_N1P2K2_MAG_00004	2906601	0.380601603040803	93.4210526315789	2.63157894736842	3415	604.792093704246	1.17491186440795	1200	2779	TA-21
T7_N1P2K2_MAG_00005	843329	0.397970424353959	67.1052631578947	5.26315789473684	928	719.650862068965	1.10040091115093	182	864	None
T7_N1P2K2_MAG_00007	3044469	0.388669091391635	86.8421052631579	3.94736842105263	3385	595.841654357459	1.11185234600845	1116	2807	Nitrosopolaris
T7_N1P2K2_MAG_00008	807801	0.348012691244502	65.7894736842105	3.94736842105263	1004	667.308764940239	1.24288036286165	79	947	TA-21
sample_16_MAG_00001	3541261	0.369670295411719	93.4210526315789	2.63157894736842	3778	606.435150873478	1.06685161020326	1004	3163	JAFAQB01
