bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
T3_N1K1_MAG_00002	3466632	254	38304	36.908485016729905	94.73684210526316	3.9473684210526314	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
T3_N1K1_MAG_00004	2683939	416	8072	33.56593495018917	92.10526315789474	6.578947368421052	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	JAJNBK01	JAJNBK01 sp021155845
T3_N1K1_MAG_00005	1639441	261	7774	40.41611675498495	80.26315789473684	3.9473684210526314	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TH5896	TH5896 sp014523665
T3_N1K1_MAG_00006	1072093	193	6598	36.08263957728134	84.21052631578948	3.9473684210526314	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TA-21	TA-21 sp023251115
T3_N1P2K2_MAG_00001	1339105	264	5499	36.05737288039968	50.0	2.6315789473684212	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
T3_N1P2K2_MAG_00006	3080372	613	7101	34.68516768760819	82.89473684210526	2.6315789473684212	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
T3_N1P2K2_MAG_00007	1471608	281	5712	35.22688851103722	72.36842105263158	3.9473684210526314	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TA-21	TA-21 sp021324715
T7_N1P2K2_MAG_00004	2906601	752	5024	37.94632952774021	93.42105263157895	2.6315789473684212	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TA-21	TA-21 sp022545895
T7_N1P2K2_MAG_00005	843329	157	5585	39.778070155811015	67.10526315789474	5.2631578947368425	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
T7_N1P2K2_MAG_00007	3044469	488	7030	38.71930976645909	86.84210526315789	3.9473684210526314	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrosopolaris	
T7_N1P2K2_MAG_00008	807801	316	2634	34.791876939399344	65.78947368421052	3.9473684210526314	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TA-21	TA-21 sp014523525
sample_16_MAG_00001	3541261	527	9678	36.78566489752701	93.42105263157895	2.6315789473684212	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	JAFAQB01	JAFAQB01 sp019246625
