bins	23S_rRNA_arc	23S_rRNA_bac
T3_N1K1_MAG_00002	0	0
T3_N1K1_MAG_00004	0	0
T3_N1K1_MAG_00005	0	0
T3_N1K1_MAG_00006	0	0
T3_N1P2K2_MAG_00001	0	0
T3_N1P2K2_MAG_00006	0	0
T3_N1P2K2_MAG_00007	0	0
T7_N1P2K2_MAG_00004	0	0
T7_N1P2K2_MAG_00005	0	0
T7_N1P2K2_MAG_00007	0	0
T7_N1P2K2_MAG_00008	0	0
sample_16_MAG_00001	0	0
