items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	ECGs_and_EAGs!EAG	ECGs_and_EAGs!ECG	ECGs_and_EAGs!NA	EAG_ECG_ratio
GC_00000001	12	99	19	0	0.496736096306353	0.700363135115884	0.581231096976011	1	98	0	0.0101010101010101
GC_00000002	11	71	20	0	0.663219129958439	0.682618637179036	0.672779066984008	0	71	0	0.0
GC_00000003	9	35	8	0	0.544740155002164	0.694910565873971	0.610729591798709	1	34	0	0.0285714285714286
GC_00000004	11	33	11	0	0.711937636861912	0.647576195938941	0.678233432424854	0	33	0	0.0
GC_00000005	10	30	7	0	0.683471049727053	0.728987751929831	0.705496009462624	0	30	0	0.0
GC_00000006	12	29	6	0	0.813410272733821	0.798469698054941	0.805870743026531	0	29	0	0.0
GC_00000007	9	27	6	0	0.69448074796421	0.76724941552344	0.729053776514373	0	27	0	0.0
GC_00000008	11	27	5	0	0.619999328768962	0.702775272067396	0.65879734413061	0	27	0	0.0
GC_00000009	9	26	7	0	0.795373421197144	0.66446735810101	0.72405112034302	0	26	0	0.0
GC_00000010	9	25	5	0	0.789636919406546	0.714632592592592	0.750264862009184	1	24	0	0.04
GC_00000011	9	25	8	0	0.78933386070734	0.662759664446943	0.720530235273137	0	25	0	0.0
GC_00000012	3	23	15	0	0.741156840934372	0.589893367597457	0.656930147359223	0	23	0	0.0
GC_00000013	6	23	8	0	0.727578849103154	0.660078665823319	0.692187043029451	0	23	0	0.0
GC_00000014	9	23	7	0	0.716016163447195	0.62869932731593	0.669522859517472	0	23	0	0.0
GC_00000015	11	22	4	0	0.755496727700566	0.754533772075002	0.755014942846457	0	22	0	0.0
GC_00000016	10	22	4	0	0.789791903550093	0.668506640020631	0.724105683415112	0	22	0	0.0
GC_00000017	11	22	3	0	0.763645682070556	0.748989954108365	0.756246819378018	0	22	0	0.0
GC_00000018	9	21	4	0	0.835793457691268	0.702236652236652	0.763216267226287	0	21	0	0.0
GC_00000019	10	21	5	0	0.732123744967127	0.627944509517543	0.676044138849079	1	20	0	0.0476190476190476
GC_00000020	12	21	2	0	0.782015790013329	0.890424632555035	0.832706640043425	0	21	0	0.0
GC_00000021	9	21	8	0	0.810488118927777	0.642279180801608	0.716645597916936	1	20	0	0.0476190476190476
GC_00000022	5	20	6	0	0.66580973575832	0.653381244948131	0.659536944097953	0	20	0	0.0
GC_00000023	11	20	2	0	0.709707602339181	0.855043522785458	0.775626077154446	0	20	0	0.0
GC_00000024	9	20	4	0	0.682950839844952	0.769174786225861	0.723502921247802	0	20	0	0.0
GC_00000025	10	19	5	0	0.676338801050117	0.62177872355891	0.647912178116482	0	19	0	0.0
GC_00000026	10	19	6	0	0.726867579908676	0.714895682328075	0.72083192589442	0	19	0	0.0
GC_00000027	7	19	5	0	0.622441940676017	0.677216219356338	0.648674845119182	0	19	0	0.0
GC_00000028	3	19	9	0	0.496104366733104	0.652732155782537	0.563741257253458	0	19	0	0.0
GC_00000029	7	18	4	0	0.710237061539522	0.67249382137679	0.69085031874137	0	18	0	0.0
GC_00000030	10	18	4	0	0.798274543542682	0.70403078750246	0.748196580175264	0	18	0	0.0
GC_00000031	7	18	7	0	0.683264177040111	0.721143981640474	0.701693230842406	1	17	0	0.0555555555555556
GC_00000032	10	18	3	0	0.816623464330761	0.642019009526458	0.718870864001757	2	16	0	0.111111111111111
GC_00000033	12	18	2	0	0.682296959432212	0.81637009331671	0.743336328665791	0	18	0	0.0
GC_00000034	12	18	2	0	0.789046004222919	0.829094375611136	0.808574598783268	0	18	0	0.0
GC_00000035	8	17	4	0	0.810364769451206	0.687362952765973	0.743813060925272	0	17	0	0.0
GC_00000036	7	17	8	0	0.717219436945623	0.810669722434428	0.761086729758855	0	17	0	0.0
