readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
1	unclassified	0	0	0	0	297	1
4	unclassified	0	0	0	0	153	1
2	unclassified	0	0	0	0	528	1
0	unclassified	0	0	0	0	651	1
5	unclassified	0	0	0	0	207	1
6	unclassified	0	0	0	0	324	1
7	unclassified	0	0	0	0	390	1
8	unclassified	0	0	0	0	660	1
10	unclassified	0	0	0	0	345	1
9	unclassified	0	0	0	0	615	1
11	unclassified	0	0	0	0	333	1
3	unclassified	0	0	0	0	1587	1
12	unclassified	0	0	0	0	423	1
16	unclassified	0	0	0	0	381	1
13	unclassified	0	0	0	0	582	1
15	unclassified	0	0	0	0	543	1
17	unclassified	0	0	0	0	132	1
18	unclassified	0	0	0	0	258	1
19	unclassified	0	0	0	0	165	1
14	unclassified	0	0	0	0	873	1
21	unclassified	0	0	0	0	168	1
22	unclassified	0	0	0	0	174	1
25	unclassified	0	0	0	0	144	1
26	unclassified	0	0	0	0	165	1
23	unclassified	0	0	0	0	447	1
27	unclassified	0	0	0	0	186	1
28	unclassified	0	0	0	0	159	1
30	unclassified	0	0	0	0	261	1
20	unclassified	0	0	0	0	1122	1
31	unclassified	0	0	0	0	129	1
32	unclassified	0	0	0	0	162	1
24	unclassified	0	0	0	0	1182	1
33	unclassified	0	0	0	0	294	1
34	unclassified	0	0	0	0	285	1
29	unclassified	0	0	0	0	813	1
38	unclassified	0	0	0	0	141	1
37	unclassified	0	0	0	0	441	1
35	cid|585	585	64	64	23	357	2
35	cid|584	584	64	64	23	357	2
39	unclassified	0	0	0	0	306	1
36	unclassified	0	0	0	0	621	1
42	unclassified	0	0	0	0	273	1
40	unclassified	0	0	0	0	336	1
43	unclassified	0	0	0	0	267	1
41	NC_000023.11	9606	81	0	24	354	1
44	unclassified	0	0	0	0	198	1
45	unclassified	0	0	0	0	228	1
49	unclassified	0	0	0	0	192	1
47	unclassified	0	0	0	0	357	1
48	unclassified	0	0	0	0	408	1
51	unclassified	0	0	0	0	252	1
50	unclassified	0	0	0	0	318	1
53	unclassified	0	0	0	0	237	1
52	unclassified	0	0	0	0	474	1
54	unclassified	0	0	0	0	303	1
55	unclassified	0	0	0	0	318	1
57	unclassified	0	0	0	0	348	1
58	unclassified	0	0	0	0	279	1
46	unclassified	0	0	0	0	1641	1
56	unclassified	0	0	0	0	696	1
59	unclassified	0	0	0	0	486	1
61	unclassified	0	0	0	0	261	1
63	unclassified	0	0	0	0	309	1
60	unclassified	0	0	0	0	882	1
62	unclassified	0	0	0	0	945	1
65	unclassified	0	0	0	0	1068	1
68	unclassified	0	0	0	0	168	1
64	unclassified	0	0	0	0	1473	1
67	unclassified	0	0	0	0	876	1
66	unclassified	0	0	0	0	1137	1
70	unclassified	0	0	0	0	426	1
72	unclassified	0	0	0	0	804	1
69	unclassified	0	0	0	0	1212	1
71	unclassified	0	0	0	0	1182	1
75	unclassified	0	0	0	0	174	1
73	cid|1229909	1229909	64	0	23	1053	1
74	unclassified	0	0	0	0	861	1
77	unclassified	0	0	0	0	687	1
79	unclassified	0	0	0	0	267	1
80	unclassified	0	0	0	0	144	1
78	cid|29554	29554	81	0	24	921	1
76	cid|1491	1491	144	0	27	1221	1
82	unclassified	0	0	0	0	477	1
81	NC_000003.12	9606	100	0	25	558	1
86	unclassified	0	0	0	0	222	1
83	unclassified	0	0	0	0	504	1
87	unclassified	0	0	0	0	264	1
84	cid|1752063	1752063	64	0	23	618	1
88	unclassified	0	0	0	0	192	1
85	unclassified	0	0	0	0	690	1
89	unclassified	0	0	0	0	318	1
91	unclassified	0	0	0	0	213	1
92	unclassified	0	0	0	0	294	1
